year,month,day,hour,rf_10184100,rf_10184110,rf_10184140,tide_level,swl,inf,sfw,ecpc,tototf,wl_1018662,fw_1018662,wl_1018680,wl_1018683,fw_1018683,wl_1019630,fw_1019630
2016,0,0,0,0.0,0.0,0.0,453.8333333333333,25.08683333333333,148.815,214.69500000000002,29.30666666666667,216.49833333333333,314.2,494.4816666666666,302.8666666666666,299.6666666666667,580.2033333333333,292.1333333333333,759.8733333333333
2016,0,0,1,0.0,0.0,0.0,390.0,25.084833333333336,145.01833333333335,214.56499999999997,29.435,128.00166666666667,311.53333333333336,475.01666666666665,298.7,295.8333333333333,314.1383333333333,289.96666666666664,729.8233333333334
2016,0,0,2,0.0,0.0,0.0,311.8333333333333,25.105999999999998,294.195,215.21333333333334,28.786666666666665,124.81166666666667,309.20000000000005,458.51,295.8666666666666,292.3333333333333,384.00833333333327,284.96666666666664,661.69
2016,0,0,3,0.0,0.0,0.0,239.5,25.115499999999997,224.5,215.5,28.5,122.73333333333333,303.0333333333333,416.1116666666667,291.2,288.5,320.8333333333333,283.46666666666664,642.0500000000001
2016,0,0,4,0.0,0.0,0.0,175.66666666666666,25.133166666666668,175.67166666666665,216.14166666666665,27.858333333333334,124.68833333333333,299.53333333333336,392.98499999999996,288.7,285.3333333333333,276.6333333333333,279.1333333333333,586.9549999999999
2016,0,0,5,0.0,0.0,0.0,123.66666666666667,25.146833333333333,108.37666666666667,216.64166666666665,27.358333333333334,125.47666666666667,295.8666666666666,369.52666666666664,285.3666666666666,282.0,294.17,276.9666666666667,560.25
2016,0,0,6,0.0,0.0,0.0,103.83333333333333,25.1575,175.49333333333334,217.16,26.84166666666667,124.39333333333333,293.2,352.8833333333334,282.0333333333333,279.0,254.04666666666665,274.3,528.3733333333333
2016,0,0,7,0.0,0.0,0.0,146.5,25.174166666666668,275.63166666666666,217.71166666666667,26.290000000000003,122.265,291.03333333333336,339.6666666666667,279.5333333333333,276.3333333333333,254.485,271.9666666666667,501.23499999999996
2016,0,0,8,0.0,0.0,0.0,232.66666666666666,25.170666666666666,241.25166666666667,217.58333333333334,26.416666666666668,190.035,288.53333333333336,324.74833333333333,277.0333333333333,273.8333333333333,235.67,269.46666666666664,472.965
2016,0,0,9,0.0,0.0,0.0,342.5,25.173166666666663,329.87,217.74166666666667,26.258333333333336,295.7866666666667,287.0333333333333,315.9533333333333,275.0333333333333,271.5,223.21,267.3,449.14000000000004
